artist_name,song_name,duration,playcount,listeners,tag
SZA,Kill Bill,154000,17429320,987007,pop
"Tyler, the Creator",See You Again (feat. Kali Uchis),180000,16466512,1002965,rap
pinkpantheress,Boy's a liar Pt. 2,0,8772363,724864,rap
Frank Ocean,Pink + White,184000,21272327,1105199,rnb
Fifty Fifty,Cupid - Twin Ver.,0,3895874,355420,pop
Taylor Swift,Anti-Hero,200000,16616875,759480,pop
Taylor Swift,Cruel Summer,178000,16664930,622179,electropop
Harry Styles,As It Was,167000,24645763,1084123,pop
Taylor Swift,carDIGan,0,20223128,775073,chamber pop
Taylor Swift,Style,227000,16406745,826222,pop
SZA,Kill Bill (feat. Doja Cat),175000,870638,237460,sza
Tame Impala,The Less I Know the Better,216000,19999481,1382382,psychedelic
Arctic Monkeys,505,250000,23940161,1570685,indie rock
The Weeknd,Die For You,0,14210470,936931,rnb
TV Girl,Lovers Rock,214000,12615971,742408,indie pop
Taylor Swift,Karma,204000,11844627,524210,pop
Kendrick Lamar,Money Trees,387000,13321484,1003783,rap
Taylor Swift,Lavender Haze,202000,13045933,635708,pop
"Tyler, the Creator",DOGTOOTH,161000,2867796,363895,MySpotigramBot
Steve Lacy,Bad Habit,232000,14124648,828491,indie
The Weeknd,Stargirl Interlude,0,13180936,773856,MySpotigramBot
Taylor Swift,Blank Space,230000,16285910,1040982,pop
"Tyler, the Creator",Earfquake,0,15795504,1004086,Neo-Soul
Arctic Monkeys,Why'd You Only Call Me When You're High?,162000,18676775,1461095,indie
The Weeknd,Starboy,0,14529106,1180664,rnb
NewJeans,OMG,212000,11466044,390736,Kpop
Kali Uchis,Moonlight,187000,3298396,337962,Psychedelic Soul
Steve Lacy,Dark Red,173000,15589646,951702,indie pop
Taylor Swift,aUgUSt,0,17868665,664408,folk
Arctic Monkeys,I Wanna Be Yours,184000,15674610,1231535,indie rock
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221000,6661755,563701,MySpotigramBot
Taylor Swift,"You're On Your Own, Kid",0,12583265,520201,pop
Miley Cyrus,Flowers,200000,7699570,622764,pop
The Neighbourhood,Sweater Weather,240000,21582653,1544965,indie
Frank Ocean,Ivy,249000,17465213,931004,rnb
Frank Ocean,Lost,0,14339516,1105774,rnb
Taylor Swift,Don’t Blame Me,0,11065248,608192,pop
Frank Ocean,nights,0,19064812,876342,rnb
Taylor Swift,Midnight Rain,174000,11438005,545217,pop
"Tyler, the Creator",NEW MAGIC WAND,195000,12936970,832084,experimental hip hop
Taylor Swift,Enchanted,352000,10169931,635104,country
Tears for Fears,Everybody Wants to Rule the World,250000,13315291,1498856,80s
Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",0,9243762,721111,Neo-Soul
